央视频道,#genre#
CCTV-1综合,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227467/index.m3u8
CCTV-1综合,http://223.110.251.219:6610/gitv/live1/G_CCTV-1-HQ/G_CCTV-1-HQ/.m3u8
CCTV-1综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1综合,http://36.170.16.48/liveplay-kk.rtxapp.com/live/program/live/cctv1hd/4000000/mnf.m3u8
CCTV-1综合,http://39.135.34.150:8080/000000001000/1000000001000021973/1.m3u8?xtkg
CCTV-1综合,http://124.232.233.17:6610/000000001001/201500000063/index.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
CCTV-1综合,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227634/index.m3u8
CCTV-1综合,http://39.135.138.60:18890/TVOD/88888910/224/3221225618/index.m3u8
CCTV-1综合,http://39.135.138.60:18890/TVOD/88888910/224/3221225762/index.m3u8
CCTV-1综合,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv1/HD-8000k-1080P-cctv1
CCTV-1综合,http://223.110.236.7/ott.js.chinamobile.com/PLTV/3/224/3221228049/index.m3u8
CCTV-1综合,http://111.20.33.93/TVOD/88888893/224/3221226231/index.m3u8
CCTV-1综合,http://39.135.138.60:18890/TVOD/88888910/224/3221225918/index.m3u8
CCTV-1综合,http://223.110.236.6/ott.js.chinamobile.com/PLTV/3/224/3221228049/index.m3u8
CCTV-1综合,http://112.74.200.9:88/tv000000/m3u8.php?/migu/608807420
CCTV-1综合,http://223.110.235.9/ott.js.chinamobile.com/PLTV/3/224/3221228049/index.m3u8
CCTV-1综合,http://223.110.243.159/ott.js.chinamobile.com/PLTV/3/224/3221227725/index.m3u8$8M1080P
CCTV-1综合,http://223.110.245.154/ott.js.chinamobile.com/TVOD/3/224/3221227634/index.m3u8
CCTV-1综合,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8
CCTV-1综合,http://223.110.235.8/ott.js.chinamobile.com/PLTV/3/224/3221228049/index.m3u8
